Species	Genes	Version	Source	EA_Project	N
Oryza sativa spp. japonica	35775	IRGSP-1.0	Ensembl Plants v53	E-MTAB-2037	
Zea mays	39756	Zm-B73-REFERENCE-NAM-5.0	Ensembl Plants v53	E-GEOD-50191	
Vitis vinifera	35134	PN40024.v4	Ensembl Plants v53	E-GEOD-62744	
Glycine max	55897	Glycine_max_v2.1	Ensembl Plants v53	E-GEOD-61857	
Solanum lycopersicum	34429	SL3.0	Ensembl Plants v53	E-MTAB-4813	
Populus trichocarpa	41335	Pop_tri_v3	Ensembl Plants v53	E-GEOD-81077	
Arabidopsis thaliana	27628	TAIR10	Ensembl Plants v53	E-MTAB-7978	
