Gene stable ID	Transcript stable ID	STRING ID
Vitvi06g01050	Vitvi06g01050_t001	29760.VIT_06s0009g01570.t01
Vitvi04g04120	Vitvi04g04120_t001	
Vitvi18g01640	Vitvi18g01640_t001	
Vitvi03g01316	Vitvi03g01316_t002	
Vitvi03g01316	Vitvi03g01316_t001	
Vitvi13g00695	Vitvi13g00695_t001	
Vitvi09g00785	Vitvi09g00785_t001	
Vitvi16g00077	Vitvi16g00077_t001	
Vitvi03g04132	Vitvi03g04132_t001	
Vitvi04g01216	Vitvi04g01216_t001	
Vitvi15g04275	Vitvi15g04275_t001	
Vitvi19g01835	Vitvi19g01835_t001	
Vitvi18g00959	Vitvi18g00959_t001	29760.VIT_18s0001g12460.t01
Vitvi03g04263	Vitvi03g04263_t001	
Vitvi08g00289	Vitvi08g00289_t001	
Vitvi08g00289	Vitvi08g00289_t002	
Vitvi05g01114	Vitvi05g01114_t001	29760.VIT_05s0029g00460.t01
Vitvi01g04321	Vitvi01g04321_t001	
Vitvi05g00616	Vitvi05g00616_t001	29760.VIT_05s0020g04540.t01
Vitvi19g01533	Vitvi19g01533_t007	
Vitvi19g01533	Vitvi19g01533_t002	
Vitvi19g01533	Vitvi19g01533_t010	
Vitvi19g01533	Vitvi19g01533_t009	
Vitvi19g01533	Vitvi19g01533_t001	
Vitvi19g01533	Vitvi19g01533_t004	
Vitvi19g01533	Vitvi19g01533_t006	
Vitvi19g01533	Vitvi19g01533_t005	
Vitvi19g01533	Vitvi19g01533_t003	
Vitvi19g01533	Vitvi19g01533_t008	
Vitvi00g04397	Vitvi00g04397_t001	
Vitvi15g01395	Vitvi15g01395_t001	
Vitvi08g01741	Vitvi08g01741_t001	29760.VIT_08s0007g06530.t01
Vitvi17g00907	Vitvi17g00907_t001	29760.VIT_17s0000g09200.t01
Vitvi02g01337	Vitvi02g01337_t001	
Vitvi19g04392	Vitvi19g04392_t001	
Vitvi19g00219	Vitvi19g00219_t001	29760.VIT_19s0014g02640.t01
Vitvi13g02459	Vitvi13g02459_t001	
Vitvi12g00130	Vitvi12g00130_t001	
Vitvi14g04636	Vitvi14g04636_t001	
Vitvi05g01989	Vitvi05g01989_t001	
Vitvi01g00029	Vitvi01g00029_t002	
Vitvi01g00029	Vitvi01g00029_t001	29760.VIT_01s0011g00300.t01
Vitvi13g04511	Vitvi13g04511_t001	
Vitvi05g04128	Vitvi05g04128_t001	
Vitvi11g01411	Vitvi11g01411_t001	
Vitvi12g04067	Vitvi12g04067_t001	
Vitvi10g04204	Vitvi10g04204_t001	
Vitvi07g04182	Vitvi07g04182_t001	
Vitvi18g00248	Vitvi18g00248_t001	
Vitvi07g04098	Vitvi07g04098_t001	
Vitvi19g04319	Vitvi19g04319_t001	
Vitvi12g04122	Vitvi12g04122_t001	
Vitvi10g04560	Vitvi10g04560_t001	
Vitvi10g00585	Vitvi10g00585_t001	
Vitvi19g01896	Vitvi19g01896_t001	29760.VIT_19s0014g03220.t01
Vitvi18g02750	Vitvi18g02750_t001	
Vitvi10g00304	Vitvi10g00304_t001	
Vitvi13g01327	Vitvi13g01327_t001	
Vitvi10g04170	Vitvi10g04170_t001	
Vitvi18g02063	Vitvi18g02063_t001	
Vitvi18g04348	Vitvi18g04348_t001	
Vitvi07g00603	Vitvi07g00603_t001	
Vitvi09g00141	Vitvi09g00141_t001	
Vitvi10g02215	Vitvi10g02215_t001	
Vitvi14g04695	Vitvi14g04695_t001	
Vitvi18g04557	Vitvi18g04557_t001	
Vitvi01g01517	Vitvi01g01517_t001	29760.VIT_01s0010g02330.t01
Vitvi15g00820	Vitvi15g00820_t001	29760.VIT_15s0048g01790.t01
Vitvi03g00120	Vitvi03g00120_t001	29760.VIT_03s0038g02120.t01
Vitvi03g04417	Vitvi03g04417_t001	
Vitvi04g02122	Vitvi04g02122_t001	
Vitvi08g04389	Vitvi08g04389_t001	
Vitvi04g01843	Vitvi04g01843_t001	
Vitvi04g01545	Vitvi04g01545_t001	
Vitvi16g01097	Vitvi16g01097_t001	29760.VIT_16s0050g01070.t01
Vitvi01g00221	Vitvi01g00221_t001	
Vitvi05g04066	Vitvi05g04066_t001	
Vitvi19g00406	Vitvi19g00406_t001	29760.VIT_19s0014g05100.t01
Vitvi15g01051	Vitvi15g01051_t001	29760.VIT_15s0046g01710.t01
Vitvi19g00292	Vitvi19g00292_t001	29760.VIT_19s0014g03530.t01
Vitvi06g01465	Vitvi06g01465_t001	
Vitvi01g01799	Vitvi01g01799_t001	29760.VIT_01s0150g00390.t01
Vitvi05g04531	Vitvi05g04531_t001	
Vitvi05g01663	Vitvi05g01663_t001	29760.VIT_05s0094g01150.t01
Vitvi11g00182	Vitvi11g00182_t001	29760.VIT_11s0016g02240.t01
Vitvi17g00686	Vitvi17g00686_t001	
Vitvi08g01185	Vitvi08g01185_t001	
Vitvi17g01184	Vitvi17g01184_t001	
Vitvi16g00002	Vitvi16g00002_t001	29760.VIT_16s0039g00010.t01
Vitvi17g00972	Vitvi17g00972_t001	
Vitvi02g00459	Vitvi02g00459_t001	
Vitvi04g00263	Vitvi04g00263_t001	29760.VIT_04s0008g02970.t01
Vitvi04g00263	Vitvi04g00263_t002	
Vitvi04g00263	Vitvi04g00263_t003	29760.VIT_04s0008g02970.t01
Vitvi04g00132	Vitvi04g00132_t001	
Vitvi04g00132	Vitvi04g00132_t002	
Vitvi17g04029	Vitvi17g04029_t001	
Vitvi08g01037	Vitvi08g01037_t001	29760.VIT_08s0040g01870.t01
Vitvi10g04350	Vitvi10g04350_t001	
Vitvi09g01394	Vitvi09g01394_t001	
Vitvi17g00321	Vitvi17g00321_t001	
Vitvi15g00155	Vitvi15g00155_t001	
Vitvi03g00855	Vitvi03g00855_t002	
Vitvi03g00855	Vitvi03g00855_t004	
Vitvi03g00855	Vitvi03g00855_t001	
Vitvi03g00855	Vitvi03g00855_t003	
Vitvi14g01227	Vitvi14g01227_t002	29760.VIT_14s0006g03240.t01
Vitvi14g01227	Vitvi14g01227_t001	29760.VIT_14s0006g03240.t01
Vitvi15g04112	Vitvi15g04112_t001	
Vitvi13g04659	Vitvi13g04659_t001	
Vitvi02g04281	Vitvi02g04281_t001	
Vitvi09g04274	Vitvi09g04274_t001	
Vitvi15g00627	Vitvi15g00627_t001	
Vitvi05g04042	Vitvi05g04042_t001	
Vitvi14g00511	Vitvi14g00511_t001	
Vitvi18g04367	Vitvi18g04367_t001	
Vitvi13g00636	Vitvi13g00636_t001	29760.VIT_13s0019g04580.t01
Vitvi10g01829	Vitvi10g01829_t001	
Vitvi13g01134	Vitvi13g01134_t002	
Vitvi13g01134	Vitvi13g01134_t001	
Vitvi03g00553	Vitvi03g00553_t001	29760.VIT_03s0180g00150.t01
Vitvi18g00413	Vitvi18g00413_t001	
Vitvi05g01834	Vitvi05g01834_t001	29760.VIT_05s0020g00910.t01
Vitvi17g01361	Vitvi17g01361_t001	
Vitvi11g00694	Vitvi11g00694_t001	29760.VIT_11s0037g00150.t01
Vitvi11g00694	Vitvi11g00694_t002	
Vitvi06g04200	Vitvi06g04200_t001	
Vitvi14g00715	Vitvi14g00715_t001	
Vitvi14g00267	Vitvi14g00267_t001	29760.VIT_14s0128g00220.t01
Vitvi19g00487	Vitvi19g00487_t001	
Vitvi07g04356	Vitvi07g04356_t001	
Vitvi16g01546	Vitvi16g01546_t001	
Vitvi13g01601	Vitvi13g01601_t001	
Vitvi07g00339	Vitvi07g00339_t001	29760.VIT_07s0005g00640.t01
Vitvi17g01490	Vitvi17g01490_t001	29760.VIT_17s0000g06860.t01
Vitvi17g01490	Vitvi17g01490_t002	29760.VIT_17s0000g06860.t01
Vitvi00g04665	Vitvi00g04665_t001	29760.VIT_15s0046g02040.t01
Vitvi16g01352	Vitvi16g01352_t001	29760.VIT_16s0098g01060.t01
Vitvi13g00348	Vitvi13g00348_t002	29760.VIT_13s0019g02250.t01
Vitvi13g00348	Vitvi13g00348_t004	
Vitvi13g00348	Vitvi13g00348_t001	29760.VIT_13s0019g02250.t01
Vitvi13g00348	Vitvi13g00348_t003	29760.VIT_13s0019g02250.t01
Vitvi15g01667	Vitvi15g01667_t001	
Vitvi14g01868	Vitvi14g01868_t001	
Vitvi10g00869	Vitvi10g00869_t001	
Vitvi03g04081	Vitvi03g04081_t001	
Vitvi07g04542	Vitvi07g04542_t002	
Vitvi07g04542	Vitvi07g04542_t001	
Vitvi03g00389	Vitvi03g00389_t001	29760.VIT_03s0063g01870.t01
Vitvi08g04363	Vitvi08g04363_t001	
Vitvi06g00425	Vitvi06g00425_t001	
Vitvi05g00623	Vitvi05g00623_t001	
Vitvi14g01640	Vitvi14g01640_t001	29760.VIT_14s0219g00290.t01
Vitvi08g04120	Vitvi08g04120_t001	
Vitvi07g04031	Vitvi07g04031_t001	
Vitvi12g04644	Vitvi12g04644_t001	
Vitvi04g01223	Vitvi04g01223_t001	
Vitvi15g04529	Vitvi15g04529_t001	
Vitvi10g01737	Vitvi10g01737_t001	
Vitvi14g01442	Vitvi14g01442_t001	29760.VIT_14s0068g00870.t01
Vitvi00g04534	Vitvi00g04534_t001	
Vitvi02g01594	Vitvi02g01594_t001	
Vitvi18g02118	Vitvi18g02118_t001	
Vitvi18g02495	Vitvi18g02495_t001	29760.VIT_18s0001g00140.t01
Vitvi15g00240	Vitvi15g00240_t001	29760.VIT_15s0107g00230.t01
Vitvi07g04176	Vitvi07g04176_t001	
Vitvi04g01741	Vitvi04g01741_t001	29760.VIT_04s0044g01750.t01
Vitvi16g01562	Vitvi16g01562_t001	
Vitvi05g01689	Vitvi05g01689_t001	
Vitvi08g01879	Vitvi08g01879_t001	29760.VIT_08s0007g08200.t01
Vitvi08g02067	Vitvi08g02067_t001	
Vitvi16g00984	Vitvi16g00984_t001	
Vitvi07g04566	Vitvi07g04566_t001	
Vitvi01g04470	Vitvi01g04470_t001	
